language,strategy,model_or_tokenizer,metric_type,num_tokens,fertility,generation_time
en,RegexPreprocessor,xlm-roberta-base,static,53.0,1.4324324324324325,
en,RegexPreprocessor,google/mt5-base,static,58.0,1.5675675675675675,
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,0.6761684417724609
en,Baseline_Lower,xlm-roberta-base,static,50.0,1.4705882352941178,
en,Baseline_Lower,google/mt5-base,static,55.0,1.6176470588235294,
en,Baseline_Lower,google/gemma-2b-it,dynamic,,,0.7209446430206299
en,BaselinePreprocessor,xlm-roberta-base,static,68.0,1.5813953488372092,
en,BaselinePreprocessor,google/mt5-base,static,71.0,1.6511627906976745,
en,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,0.1488020420074463
en,RegexPreprocessor,xlm-roberta-base,static,79.0,1.6458333333333333,
en,RegexPreprocessor,google/mt5-base,static,81.0,1.6875,
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,0.7303626537322998
en,Baseline_Lower,xlm-roberta-base,static,75.0,1.744186046511628,
